location,size,total_sqft,bath,balcony,price
Malleshwaram,3,2475,4,3,32600000
Pai Layout,6,3800,6,2,17500000
Haralur Road,4,4694,5,2,37500000
Electronic City,2,1200,2,1,3465999
Hulimavu,4,1200,4,1,7500000
Harlur,2,1225,2,2,5600000
Thanisandra,2,1056,2,1,7500000
9th Phase JP Nagar,3,1240,2,2,4285000
Banashankari,3,1200,3,2,7452000
Kudlu Gate,3,1850,3,2,11000000
Amblipura,4,3150,4,3,18000000
Naganathapura,1,1200,1,0,3982000
Dodda Banaswadi,4,1018,4,1,15000000
Konena Agrahara,5,3520,6,1,46000000
Chandapura,3,1185,2,2,3022000
Jigani,2,918,2,2,5600000
GD Layout,3,1330,2,2,6800000
Munnekollal,3,1540,2,3,7000000
Lakshminarayana Pura,2,1200,2,2,8000000
Sunkan palya,2,927,2,2,3700000
CV Raman Nagar,3,1400,2,2,7800000
Hosur Road,2,1345,2,2,10600000
1st Phase JP Nagar,4,1900,3,1,40000000
8th Phase JP Nagar,2,1510,2,3,8000000
Malleshwaram,2,302,2,1,2500000
Kanakpura Road,1,525,2,2,2700000
ITPL,3,1500,3,1,6152000
Vidyaranyapura,3,1100,2,2,7200000
Sunkadakatte,3,1200,3,1,6800000
Kanakpura Road,3,1100,3,2,5300000
Hormavu,4,2282,4,0,11500000
Jayanti Nagar,2,760,2,1,3749000
Sarjapur,3,2172,3,0,10000000
Yeshwanthpur Industrial Suburb,6,3800,6,2,39000000
Kumaraswami Layout,4,600,2,1,7200000
8th Phase JP Nagar,3,3300,3,2,16500000
Thubarahalli,3,1242,3,1,5100000
Moodalapalya,1,410,1,1,4800000
Uttarahalli,3,1245,2,2,4358000
Kadugodi,2,1088,2,2,4400000
Sahakara Nagar,2,1200,2,0,4600000
TC Palaya,3,1995,3,1,10000000
Haralur Road,2,1309,2,1,8200000
BTM 1st Stage,3,1717,3,2,20000000
7th Phase JP Nagar,3,2100,3,2,20000000
Gayathri Nagar,2,880,1,0,9000000
Abbigere,6,1200,6,1,9500000
Maruthi Nagar,3,1250,3,2,4200000
Hebbal,3,3520,5,2,24000000
5th Phase JP Nagar,2,1041,2,2,5400000
Sarjapur  Road,3,1505,2,2,6000000
Bannerghatta,3,1776,3,2,15000000
Bellandur,3,1767,3,2,8900000
Rajiv Gandhi Nagar,2,1293,2,2,8000000
Kengeri,2,1320,2,1,5000000
Bhuvaneshwari Nagar,2,1280,2,2,6848000
Thanisandra,2,1245,2,1,8305000
Haralur Road,2,1027,1,2,4400000
Yelenahalli,2,1200,2,2,4617000
Kanakpura Road,3,1100,3,2,5800000
Medahalli,3,1065,3,1,7200000
Kannamangala,3,1814,3,1,12900000
Ramagondanahalli,3,1610,2,1,11200000
Kumaraswami Layout,1,850,1,1,7800000
Kasavanhalli,3,1600,3,3,7900000
Old Mangammanapalya Road,3,3200,4,2,14000000
Canara Bank Colony,3,1250,2,1,7713000
Haralur Road,2,1243,2,2,4600000
Kanakpura Road,3,1452,3,3,6098000
Ittamadu,3,1475,3,3,7500000
Electronic City,2,1353,2,3,7500000
Maruthi Sevanagar,4,2100,3,0,21000000
Electronics City Phase 1,3,1750,3,2,5800000
Whitefield,4,4800,4,3,55000000
Sahakara Nagar,2,1270,2,1,9600000
Battarahalli,4,2700,3,0,7500000
8th Phase JP Nagar,4,1200,4,2,27000000
Thanisandra,4,2695,4,3,18800000
Hessarghatta,3,1330,3,2,6500000
Electronic City,2,660,1,0,1800000
BTM 2nd Stage,2,1400,2,3,9000000
Gubbalala,4,4000,5,1,19500000
Kanakpura Road,3,1700,3,2,7500000
Kasavanhalli,2,1585,2,2,9000000
Kothanur,3,1385,3,3,6700000
Electronic City,2,1128,2,1,6700000
Whitefield,4,60,4,2,21800000
1Kasavanhalli,1,1200,18,2,20000000
HSR Layout,2,1203,2,2,6000000
Mallasandra,2,905,2,1,3500000
Hennur Road,3,1450,3,2,7900000
Varthur,2,1105,2,3,3800000
Channasandra,2,1200,2,1,4613000
Jalahalli,3,1530,2,3,8900000
Whitefield,2,1105,2,1,3540000
Dasarahalli,2,1333,2,1,7856000
Hongasandra,2,1065,2,2,4500000
Hosur Road,2,1350,2,2,844000
Haralur Road,2,1243,2,2,4600000
Old Madras Road,3,1530,3,2,7634000
Margondanahalli,2,1200,2,1,6500000
Whitefield,2,1270,2,1,9400000
Bellandur,3,1830,3,3,8900000
Chandapura,2,900,2,3,3500000
Attibele,4,2400,2,2,25000000
Varsova Layout,6,7000,6,2,56000000
Bannerghatta Road,3,1450,2,2,7800000
J C Nagar,3,1525,3,3,6500000
Mahalakshmi Layout,2,1080,2,1,6700000
Bagalur Main Road,2,1220,2,2,7200000
Begur Road,2,1200,2,2,4440000
R.T. Nagar,3,2400,3,0,34800000
Govindapura,2,1500,2,2,6000000
Koramangala,2,1355,2,2,9500000
Electronic City,2,1070,2,1,5700000
CV Raman Nagar,3,1980,4,1,18000000
Bommasandra,2,842,2,2,3000000
Bannerghatta Road,1,700,1,1,3120000
Doddakammanahalli,3,2500,4,2,6500000
"Kanakapura Road, ",3,1884,3,2,9500000
Dena Bank Colony,2,1100,2,2,7500000
Raja Rajeshwari Nagar,2,1196,2,2,4054000
Budigere,3,1820,3,2,8500000
Basavanapura,8,1200,8,2,14500000
Thanisandra,2,1185,2,2,4350000
Varthur,3,2145,3,2,17000000
Whitefield,2,1220,2,1,8900000
Whitefield,2,1116,2,3,5191000
6th Phase JP Nagar,2,1192,2,3,7500000
Marathahalli,3,1449,3,2,11000000
Ardendale,3,2500,3,1,25000000
Electronic City,3,1700,3,2,9000000
Hebbal,3,1920,3,2,15000000
BTM 4th Stage,2,1350,2,0,9000000
Devanahalli Int. Airport,4,4800,5,2,35000000
"Sarjapur Road, ",3,1700,3,2,7400000
Hoodi,2,1447,3,2,7600000
Kanakpura Road,2,1329,2,1,10700000
Sarjapur  Road,3,1314,2,2,7044000
Hal old airport road,3,1200,3,2,11000000
Basavangudi,6,1214,3,0,22000000
Hosa Road,3,1513,3,1,10300000
Vittasandra,2,1246,2,1,6750000
Ganga Nagar,1,705,1,1,6500000
Dasarahalli,2,1220,2,2,6200000
Yelahanka New Town,3,1800,2,1,4500000
Kaval Byrasandra,3,1400,3,2,7500000
Kasavanhalli,2,1245,2,2,8000000
Anantapuram,3,1495,2,1,6300000
Nagavara,3,2000,2,2,27500000
Gollarapalya Hosahalli,2,996,2,2,3650000
Yelahanka New Town,2,1000,2,1,4400000
Chikka Banaswadi,2,1250,2,3,7500000
Chandapura,2,975,2,1,2486000
Thanisandra,3,1261,2,1,8000000
Electronics City Phase 1,2,1080,2,2,4600000
Akshayanagara East,2,1230,2,1,5000000
Kammasandra,2,982,2,2,2553000
Bommasandra,3,1260,3,1,4936000
HSR Layout,3,1590,2,2,13500000
Horamavu Agara,2,1220,2,2,3900000
Electronic City Phase II,3,1320,2,1,3811999
Green Glen Layout,3,1750,3,2,10500000
Whitefield,3,1436,2,3,6215000
TC Palaya,3,1200,2,0,6600000
Malleshwaram,2,1500,2,2,14000000
Varthur,3,1560,3,2,9000000
Whitefield,3,3758,3,1,30000000
Belatur,2,1275,2,2,5900000
Ramanjaneyanagar,2,1040,2,2,3640000
Bellandur,3,2400,3,2,11500000
Chamrajpet,6,1500,9,3,23000000
Kaggalipura,4,3150,5,1,21200000
Karuna Nagar,3,1960,3,2,16500000
JP Nagar,4,3200,5,3,30900000
Yeshwanthpur,2,1195,2,2,10000000
Hosakerehalli,5,4500,5,2,14500000
Ulsoor,3,450,3,1,7000000
Sathya Sai Layout,4,4304,4,2,69900000
Javarandoddi,1,648,1,1,4000000
Sarjapur  Road,3,2100,3,2,13000000
Thanisandra main road,4,4209,4,2,60200000
Kudlu,2,1027,2,1,4400000
Whitefield,4,1575,4,3,25000000
Bommasandra,3,1365,3,1,5282000
Yelahanka New Town,1,650,1,1,1800000
Chandapura,3,1200,2,1,5200000
Cooke Town,2,1100,2,3,9000000
7th Phase JP Nagar,3,1075,2,1,5700000
Banashankari,2,1100,2,1,6300000
Akshya Nagar,3,1320,2,1,5800000
Kammasandra,3,1500,3,2,6500000
Vijaypura,4,1200,5,1,15000000
Bapuji Nagar,4,1125,3,2,12600000
Vittasandra,2,1246,2,1,6750000
Bhoganhalli,3,1718,3,2,9020000
Bisuvanahalli,3,1075,2,1,3200000
Chennammana Kere,3,1480,3,1,7548000
Austin Town,1,500,1,1,1300000
3rd Block Banashankari,5,2400,4,1,32500000
Kaikondrahalli,4,1200,4,2,12500000
Kanakpura Road,2,1041,2,1,3644000
Doddanekundi,2,1128,2,2,4840000
Hosur Road,3,1685,3,1,9000000
Guddadahalli,2,1180,2,2,6500000
Ejipura,2,1200,2,1,6000000
Mangammanapalya,3,1250,3,2,3950000
Kanakpura Road,2,900,2,1,4100000
Chelekare,2,1000,2,1,4500000
Yelahanka New Town,2,600,2,2,8000000
2nd Stage Nagarbhavi,4,600,3,2,8200000
Vittasandra,2,1404,2,1,7000000
Ramagondanahalli,3,1610,2,2,11500000
Varthur,2,1760,2,1,8500000
Amam Enclave Layout,2,975,2,1,5500000
Kashi Nagar,2,1190,2,2,4200000
Kudlu,2,1110,2,1,4600000
Rajaji Nagar,3,2415,3,2,39900000
Gunjur,2,1235,2,2,4450000
Nanjappa Garden,2,1275,2,3,5500000
Victoria Layout,2,1115,2,1,11500000
Harlur,2,1197,2,1,7600000
Begur Road,1,644,1,1,3200000
Bellandur,2,1251,2,3,4700000
Neeladri Nagar,2,1105,2,2,3000000
4th Phase JP Nagar,2,1080,2,2,3800000
Kudlu,4,2100,3,1,11400000
Kammanahalli,4,1600,4,1,20000000
NRI Layout,3,1731,3,3,6411000
Hormavu,2,1206,2,1,5500000
Choodasandra,3,1560,3,2,7800000
7th Phase JP Nagar,1,750,1,2,4700000
Billekahalli,2,1035,2,2,9000000
Ramamurthy Nagar,7,1200,6,2,15000000
Sarjapur  Road,1,702,1,0,3579999
Attibele,3,1700,3,1,6500000
HRBR Layout,2,1145,2,2,6850000
Ramamurthy Nagar,3,1208,2,2,4350000
Brookefield,3,1589,3,2,7400000
Allalasandra,2,560,2,1,2200000
Yelahanka New Town,3,1426,2,2,6150000
Green Glen Layout,3,1885,3,2,13500000
Old Madras Road,2,935,2,0,3777000
Old Madras Road,2,1171,2,2,7300000
Singasandra,2,1465,2,3,6000000
Budigere,3,1820,3,2,9500000
Raja Rajeshwari Nagar,3,1580,2,2,6684999
Whitefield,3,1452,2,2,4629000
Hennur Road,3,1445,2,1,8956000
Gollahalli,2,1170,2,1,3900000
Anjappa Layout,2,1070,2,1,5000000
Kanakpura Road,3,1100,3,2,5300000
Kothanur,2,1140,2,2,5600000
Rachenahalli,3,2600,3,2,16000000
Shikaripalya,3,1532,3,2,5975000
AGS Layout,2,1150,2,1,4600000
Jakkur,2,1473,2,1,8500000
Kathriguppe,3,1350,3,2,8098999
Prithvi Layout,4,4040,4,0,50000000
CV Raman Nagar,3,1980,4,2,16600000
Hoodi,3,1660,3,2,12800000
Kogilu,7,2456,7,2,8500000
Chamrajpet,2,650,2,2,4500000
Neeladri Nagar,5,4000,5,2,42500000
Malleshwaram,3,2475,4,3,34000000
Chikkakannalli,3,1495,3,2,9000000
R.T. Nagar,2,1080,2,1,4800000
Electronic City,3,1521,2,2,5750000
Aishwarya Crystal Layout,2,1053,2,0,5100000
Binny Pete,3,2406,5,2,28900000
Kanakpura Road,4,800,5,3,11500000
7th Phase JP Nagar,2,1050,2,1,4200000
Thanisandra,3,1430,2,2,5148000
Begur,3,2400,3,2,1200000
OLd Gurappanapalya,3,1250,3,2,3900000
Ramanagara Channapatna,4,1200,2,1,7500000
Ulsoor,1,840,1,1,15000000
Uttarahalli,2,1000,2,2,3950000
Bannerghatta Road,3,1630,3,3,6800000
Kammasandra,2,985,2,1,4050000
BTM 2nd Stage,2,1200,2,2,7000000
Ambalipura,3,1650,3,3,10000000
Mico Layout,3,1670,3,2,5900000
5th Block Hbr Layout,5,1200,5,2,20500000
Sarjapur  Road,4,1240,4,0,11000000
Maheswari Nagar,2,1000,2,2,6000000
Doddabanahalli,2,830,2,2,2600000
Ramagondanahalli,3,1200,3,1,5610000
Sadashiva Nagar,5,9600,7,2,273600000
Haralur Road,2,1140,2,2,4300000
Nagarbhavi,3,1635,3,3,8500000
HSR Layout,2,1120,2,1,7000000
Kamakya Layout,6,2750,6,3,20000000
Sector 7 HSR Layout,3,1760,3,2,18500000
Harlur,3,2137,3,2,11000000
Hennur Road,2,973,2,1,5074000
Kundalahalli,3,1724,3,1,14600000
Banashankari,2,1020,2,2,4079000
Hsr layout sector3,4,1200,4,3,37500000
Electronic City,1,750,1,1,3500000
Kambipura,2,883,2,1,4900000
Thyagraj Nagar,2,660,2,0,7600000
Ramagondanahalli,4,2787,5,2,22000000
Devasthanagalu,3,1470,2,3,6000000
Electronics City Phase 1,2,891,2,1,2495000
"Sarjapur Road, ",2,1275,2,1,7600000
Kothanur,3,1787,3,2,12000000
8th Phase JP Nagar,5,1730,5,2,7500000
Sarjapur  Road,2,1320,2,2,11000000
Yeshwanthpur,3,1692,3,3,10800000
Bannerghatta Road,3,1400,3,2,6900000
Sarjapur  Road,2,1115,2,1,5000000
Whitefield,2,1370,2,2,5600000
Thirumenahalli,3,1602,3,2,5600000
"Hoodi Circle, ",1,793,1,1,4000000
GM Palaya,1,675,1,1,3500000
Chikka Tirupathi,4,3250,4,2,13600000
Whitefield,2,1050,2,3,4300000
Jalahalli East,2,1035,2,1,4250000
Sarjapur  Road,3,1200,2,2,4400000
Sarjapur  Road,3,1800,3,2,12800000
Green Glen Layout,3,1625,3,2,7000000
Electronics City Phase 1,2,1032,2,1,3199000
Whitefield,3,1496,2,1,7181000
Kothnoor Dinne,2,1100,2,2,3800000
Kundalahalli,3,1500,3,2,5000000
Electronic City Phase II,2,1125,2,1,3263000
Chikka Banaswadi,3,1555,3,3,7300000
Amruthahalli,2,1025,2,1,4200000
Hennur Road,3,1482,2,1,8373000
Banagirinagar,3,1630,2,2,13000000
Arekere,2,900,2,1,4450000
Yelahanka,3,1355,2,3,7500000
1st Block Koramangala,4,2360,4,2,60100000
Akshaya Nagar,2,1200,2,2,4500000
Suraksha Nagar,3,1563,3,2,6300000
Medaralli,4,1344,4,1,8400000
6th block Koramangala,3,3000,3,2,40000000
5th Phase JP Nagar,2,812,2,1,4200000
Basaveshwara Nagar,2,1200,2,1,7000000
Yelahanka,4,3175,4,1,15600000
Marathahalli,2,1360,2,1,10100000
Hegde Nagar,3,1835,3,3,8800000
Rachenahalli,3,1756,3,2,11000000
8th Phase JP Nagar,3,1296,2,2,5183000
Haralur Road,2,1300,2,1,7500000
Anandapura,2,1141,2,1,5000000
Poorna Pragna Layout,3,1270,2,2,5079000
Electronic City,2,1210,2,1,5500000
Hormavu,2,1310,2,2,6700000
Ejipura,5,1356,5,2,13900000
Gubbalala,3,1745,3,2,14000000
KR Puram,5,1200,5,1,12500000
Raja Rajeshwari Nagar,2,1050,2,2,3700000
Banashankari,4,2400,4,3,50000000
Electronic City Phase II,2,1140,2,1,3400000
Varthur,2,1210,2,2,5400000
Kasavanhalli,3,2035,3,2,14200000
Sarjapur,1,633,1,1,1709000
Amruthahalli,1,485,1,1,1950000
Varthur,2,1112,2,2,4000000
Ullal Uppanagar,2,1200,2,0,8200000
Sarjapur  Road,3,2275,4,2,18700000
Doddanakundi Industrial Area 2,3,1419,3,2,8500000
Sri Sai Layout,2,1195,2,2,4240000
Versova Layout,3,2020,3,3,27000000
Kundalahalli,2,1047,2,2,9100000
Thanisandra,3,1884,4,2,11700000
Malleshpalya,3,1200,3,2,14900000
Bannerghatta Road,2,905,2,1,5800000
JP Nagar,3,1500,2,1,10800000
Chikkajala,1,850,1,0,5000000
Bommasandra Industrial Area,2,1125,2,1,3249000
Tindlu,2,1165,2,2,5980000
Maruthi Sevanagar,2,933,2,0,5500000
Hennur Road,3,1305,2,1,7700000
Billekahalli,2,1125,2,1,6500000
BSM Extension,2,865,2,2,3300000
Jigani,3,1245,3,3,6600000
Kalyan nagar,2,8840,2,3,30000000
Udayagiri,3,1145,2,2,6000000
AECS Layout,3,2000,3,1,9000000
Hosa Road,1,625,1,1,4368000
Kundalahalli,3,1724,3,2,12800000
Madiwala,1,400,1,1,7500000
Sarjapur  Road,3,1270,2,1,5400000
Madiwala,3,1250,3,2,3950000
Jakkur,3,1485,3,2,7200000
Shankarapuram,2,823,2,1,8000000
7th Phase JP Nagar,2,990,2,2,5000000
TC Palaya,3,1200,2,0,6600000
Kothanur,2,1185,2,2,5900000
Kadubeesanahalli,2,1140,2,1,7800000
Ambedkar Nagar,3,1950,4,2,12000000
Yelahanka,3,1756,3,2,12500000
Kumaraswami Layout,4,2600,4,2,30000000
Chandapura,1,520,1,1,1404000
Doddakannelli,2,1025,2,1,4800000
Whitefield,2,1216,2,1,7200000
Sarjapur  Road,2,1026,2,2,6080000
Sarjapur  Road,4,3335,4,3,30000000
Kodichikkanahalli,5,2700,4,2,12500000
Begur,3,1411,2,2,6000000
Kanakpura Road,3,1320,2,1,3960000
Bannerghatta,2,1320,2,0,5000000
OMBR Layout,4,615,4,2,11000000
Kalena Agrahara,3,1804,3,2,15500000
HSR Layout,2,1140,2,2,4600000
Banjara Layout,4,1200,4,1,10500000
Hebbal,4,2375,4,2,18900000
Chamundi Nagar,3,1750,3,2,12000000
Wilson Garden,9,960,5,2,13000000
TC Palaya,2,1152,2,2,5500000
Thanisandra,2,965,2,1,5400000
Lingadheeranahalli,3,1684,3,1,12000000
Hennur Road,3,1672,3,2,8600000
Panathur,2,1075,2,2,6000000
Sarjapur,3,1500,5,2,9500000
HOSUR MAIN ROAD,3,1464,3,2,5600000
Hebbal,2,1420,2,1,9926000
Nagashetty Halli,2,750,2,0,4000000
Yeshwanthpur,2,1169,2,2,6408000
Devanahalli,3,1290,2,1,6200000
Kengeri,2,1160,2,2,4060000
Shampura,7,2800,5,3,9500000
Mysore Road,3,1500,3,2,7000000
Domlur,3,1850,3,1,18000000
Venkatapura,3,1300,3,2,4600000
Electronic City Phase II,3,1310,2,1,3784000
RMV,3,2750,5,2,55000000
Bhoopsandra,3,2150,3,0,17000000
5th Block Hbr Layout,6,5100,5,3,30000000
Kanakpura Road,3,1300,2,3,6900000
Kadugodi,3,1875,2,1,11000000
Hulimavu,3,1260,2,1,8200000
Kengeri,5,2500,4,3,10000000
Begur Road,2,1241,2,1,6400000
Sarjapur  Road,2,1025,2,2,4550000
Postal Colony,2,1500,1,0,21800000
Electronic City,2,1070,2,1,6000000
Begur,2,815,2,1,4000000
Kanakpura Road,3,2000,3,3,10500000
Malleshwaram,2,1400,2,1,19000000
Varthur,4,1740,4,3,17500000
Sarjapur  Road,2,1216,2,2,7000000
pavitra paradise,3,2200,2,1,19000000
Hegde Nagar,4,3500,5,2,45000000
Shampura,6,970,6,3,10500000
Vidyaranyapura,7,3150,7,3,37500000
Kanakpura Road,2,1200,2,0,6200000
Marathahalli,2,1026,2,1,5018000
Hulimavu,1,450,1,1,2000000
KR Puram,2,1205,2,1,4579000
Jakkur Plantation,2,1368,2,3,8700000
Anekal,1,420,1,1,1250000
Doddakallasandra,2,1270,2,2,4200000
Anekal,2,614,1,1,2800000
Margondanahalli,2,1050,2,0,5800000
Yelahanka,2,1408,2,2,5800000
Subramanyapura,3,1223,2,2,4281000
Reliaable Tranquil Layout,3,1507,3,1,8000000
kadubisnahalli,2,1160,2,2,5700000
Kithaganur,3,1200,3,1,7000000
Poorna Pragna Layout,2,960,2,3,5000000
NGR Layout,2,1021,2,2,4600000
Hegde Nagar,3,2162,4,2,12900000
Channasandra,2,1065,2,1,3600000
Attibele,1,400,1,1,1025000
Bannerghatta Road,3,1465,2,1,7500000
Kanakpura Road,2,900,2,1,4100000
Marathahalli,3,1800,3,2,9500000
Amblipura,2,1175,2,2,8300000
Lavelle Road,3,6729,4,2,90000000
Vijayanagar,4,1500,4,1,36000000
Sanjay nagar,2,1050,2,0,5900000
Electronic City Phase II,3,1400,2,2,4043000
Indira Nagar,3,1650,3,1,15000000
KR Puram,3,1827,3,2,9700000
Thanisandra,3,1930,4,2,12200000
Mysore Road,2,883,2,1,3700000
Kengeri,1,550,1,1,1675000
Electronic City,3,1400,2,1,4044000
RMV 2nd Stage,4,1350,4,1,31000000
Kanakapura,3,1290,2,3,3869000
Raja Rajeshwari Nagar,3,1021,3,2,5900000
Whitefield,2,1158,2,1,5500000
Varanasi,5,1200,4,1,9900000
Nagarbhavi,3,1400,2,2,13500000
Doddaballapur,4,2400,3,0,20000000
Munnekollal,3,1200,2,1,5790000
JP Nagar,3,1520,3,2,12500000
EPIP Zone,3,2710,3,2,17700000
Kenchenahalli,2,1150,2,2,5700000
Yelahanka,2,1101,2,2,3700000
Mahalakshmi Layout,3,1200,2,3,11000000
Hebbal,2,1252,2,1,9200000
Marathahalli,3,1650,3,2,8500000
Marathahalli,2,1270,2,2,8000000
Tumkur Road,2,992,2,1,7000000
BEML Layout,3,2000,3,2,8500000
Geddalahalli,2,893,2,2,3450000
Bisuvanahalli,3,1075,2,1,4149000
Kumaraswami Layout,7,3200,7,0,15000000
Electronic City,2,1190,2,1,4200000
Ashwathnagar,3,800,2,0,6000000
Sarjapur  Road,3,1814,3,3,6300000
Rahmath Nagar,3,1400,3,2,9800000
Bommasandra,5,1400,6,3,25200000
Murugeshpalya,3,1344,2,0,5600000
Whitefield,4,5400,5,3,47500000
Kanakpura Road,3,1843,3,2,9500000
Chikkadunnasandra,2,1138,2,1,3200000
Nagappa Reddy Layout,3,1495,2,2,7000000
Electronic City,2,880,2,1,1900000
Whitefield,3,1396,3,1,7400000
Garudachar Palya,3,1610,2,3,11900000
Tindlu,2,1050,2,2,5500000
Kumbena Agrahara,3,1410,2,2,4371000
Ramamurthy Nagar,2,1050,2,2,3779999
Kumaraswami Layout,3,1310,2,1,8500000
Yelahanka,2,1104,2,2,5800000
Hennur Road,2,1165,2,1,6700000
Kudlu,2,1027,2,2,4400000
Hormavu,2,1310,2,3,6000000
Chikkanahalli,2,1052,2,2,5200000
Singasandra,3,1464,3,2,5600000
1st Block Koramangala,2,1000,2,2,4500000
Jayanagar,3,2240,3,2,30000000
Electronic City,2,1150,2,1,3808000
Thanisandra,3,2019,3,1,7067000
Varthur,2,986,2,1,3100000
Banashankari Stage III,1,1350,1,1,14500000
9th Phase JP Nagar,8,800,8,2,14000000
Akshaya Nagar,3,1893,4,2,9500000
Gollarapalya Hosahalli,3,1318,3,2,5600000
Yelahanka,3,1325,2,2,5800000
Kereguddadahalli,2,800,2,1,3300000
Canara Bank Colony,3,1300,3,2,4225000
Dodda Banaswadi,3,1300,2,2,6000000
Jalahalli East,2,1010,2,1,5200000
Banashankari,2,1260,2,3,7500000
Ulsoor,4,2500,4,0,17000000
Halanayakanahalli,3,1520,3,1,16500000
Bellandur,3,1665,3,2,8500000
Subramanyapura,3,1800,3,2,8000000
Harlur,2,1197,2,1,7500000
Manayata Tech Park,2,1050,2,2,4500000
Manjunath Nagar,5,910,4,2,19400000
Thanisandra,3,1241,2,1,6800000
Maithri Layout,3,1567,2,3,6200000
Kasavanhalli,3,1747,3,1,11000000
Ramagondanahalli,3,1475,2,2,5500000
Park View Layout,4,600,4,1,7000000
Xavier Layout,3,1524,4,2,40000000
Hennur Road,2,980,2,1,5100000
Dasanapura,2,966,2,1,5800000
Ferrar Nagar,4,2360,3,2,18500000
Sarjapur  Road,2,1112,2,1,6200000
Electronic City,2,550,1,1,1600000
Surabhi Layout,3,1760,3,3,9000000
Hennur,3,1830,2,3,11300000
Yelahanka,2,1175,2,1,6777000
Whitefield,2,1175,2,1,4100000
Horamavu Banaswadi,2,1025,2,2,4500000
Hennur Road,2,1232,2,1,8000000
5th Phase JP Nagar,2,1010,2,2,5700000
Sarjapur  Road,2,1273,2,2,6000000
Battarahalli,2,1590,2,2,10200000
Air View Colony,2,1100,2,1,5850000
Electronic City Phase II,3,1252,2,1,6500000
1st Phase JP Nagar,4,2615,5,3,22200000
Arishinakunte,5,1200,6,2,14000000
Yelahanka,2,1322,2,1,7790000
7th Phase JP Nagar,1,1000,1,1,6000000
Harlur,3,1755,3,2,11700000
Electronic City Phase II,2,1135,2,2,4600000
Rajaji Nagar,8,1200,10,2,18000000
Electronic City,4,1200,4,1,12500000
Nagavarapalya,2,1260,2,2,8550000
Hoodi,5,3250,5,2,39500000
Ambedkar Nagar,4,3500,4,2,55000000
Manjunath Nagar,5,1200,6,2,11000000
Kanakpura Road,3,1100,2,1,5300000
Electronic City Phase II,3,1305,3,1,6500000
Ayappa Nagar,2,1236,2,1,5000000
Uttarahalli,2,1125,1,2,4500000
KR Puram,2,1075,2,2,3225000
BEML Layout,3,2000,3,2,8500000
Kadugondanahalli,8,772,5,1,6000000
Thanisandra,6,3000,6,0,11000000
Kadugodi,2,1150,2,2,4200000
9th Block Jayanagar,4,1440,4,1,24000000
Hennur Road,2,1085,2,1,4340000
Hebbal Kempapura,3,1785,3,0,16500000
Malleshwaram,3,2475,4,3,30000000
Thanisandra,3,1930,4,2,12000000
4th Phase JP Nagar,2,600,4,1,7000000
Kadugondanahalli,2,800,1,0,4500000
Kumaraswami Layout,4,2450,3,2,11000000
akshaya nagar t c palya,4,1200,4,0,12000000
Bannerghatta Road,3,1920,3,3,12200000
Kothannur,2,1085,2,2,3420000
Thanisandra,1,760,1,2,5040000
Sahakara Nagar,2,1201,2,3,8000000
Electronic City,3,1615,3,2,9700000
HSR Layout,2,1289,2,2,7000000
Budigere,3,1991,4,2,10000000
Kasavanhalli,2,1377,2,2,8000000
Cunningham Road,3,2880,3,2,56000000
Laxmi Sagar Layout,3,1892,3,2,20000000
Shivaji Nagar,3,2176,3,3,34800000
Thanisandra,1,663,1,0,3282000
Electronic City,2,1165,2,1,3365000
Talaghattapura,3,3554,4,1,34000000
Thanisandra,2,1260,2,1,4550000
Volagerekallahalli,2,1095,2,1,3900000
KR Garden,2,1050,2,2,6500000
Seegehalli,2,1176,2,2,5000000
Thanisandra,3,1801,3,2,11500000
Whitefield,2,1315,2,3,5500000
Parappana Agrahara,2,1194,2,2,4600000
NRI Layout,2,2400,2,1,12500000
Uttarahalli,3,1308,2,3,5300000
Sarjapur  Road,4,4250,4,2,61000000
Thanisandra,3,1806,6,2,11600000
Thanisandra,4,3671,4,1,22000000
Hoodi,3,2144,3,2,14000000
Hoskote,2,1065,2,3,3375000
Balagere,2,1205,2,1,6700000
Uttarahalli,2,1160,2,2,4058000
Kanaka Nagar,4,750,4,2,9000000
Parappana Agrahara,2,1194,2,2,4700000
mvj engineering college,3,1200,3,1,5653000
2nd Phase Judicial Layout,3,1681,3,3,6900000
Bommasandra Industrial Area,2,1130,2,1,3264000
Iblur Village,4,3633,5,1,33500000
Kanakpura Road,3,1843,3,2,9000000
Bommasandra Industrial Area,2,1065,2,1,3075000
Thubarahalli,3,1885,3,2,8552000
R.T. Nagar,2,1500,2,2,4500000
Panathur,2,1210,2,2,6900000
TC Palaya,2,1126,2,1,3940000
Rayasandra,3,1357,2,2,5900000
Whitefield,3,1451,2,2,4640000
Kodigehaali,4,1600,3,3,18500000
Hennur Road,2,950,2,1,5500000
Bellandur,2,960,2,2,4800000
2nd Block Bel Layout,3,1625,3,3,9200000
Kaggalipura,3,2200,4,1,15000000
Ambalipura,3,1607,2,2,11200000
Kanakpura Road,2,900,2,1,4629000
Shree Ananth Nagar Layout,2,1080,2,2,3800000
Cooke Town,3,2300,3,1,25000000
Hosa Road,4,1708,3,0,6405000
Yeshwanthpur,6,2500,5,2,18500000
Bellandur,3,1690,2,2,11600000
RR Layout,5,2100,3,0,14500000
4th Block Koramangala,2,1269,2,2,9700000
Haralur Road,2,1243,2,2,4600000
Haralur Road,3,1890,3,2,8400000
